"ID","TITLE","META_DESC","FULL_SUMMARY"
"128","Adrenal Gland Disorders","Adrenal gland disorders, such as Cushing's Syndrome and Addison's Disease, happen when your glands make too much or not enough hormones.","<p>The adrenal glands are small glands located on top of each kidney. They produce hormones that you can't live without, including sex hormones and cortisol. Cortisol helps you respond to stress and has many other important functions.</p> <p>With adrenal gland disorders, your glands make too much or not enough hormones. In <a href='https://medlineplus.gov/cushingssyndrome.html'>Cushing's syndrome</a>, there's too much cortisol, while with <a href='https://medlineplus.gov/addisondisease.html'>Addison's disease</a>, there is too little. Some people are born unable to make enough cortisol.</p> <p>Causes of adrenal gland disorders include</p> <ul> <li>Genetic mutations</li> <li>Tumors including <a href='https://medlineplus.gov/pheochromocytoma.html'>pheochromocytomas</a></li> <li>Infections</li> <li>A problem in another gland, such as the pituitary, which helps to regulate the adrenal gland</li> <li>Certain medicines</li></ul> <p>Treatment depends on which problem you have. Surgery or medicines can treat many adrenal gland disorders.</p> <p >NIH: National Institute of Child Health and Human Development</p>"
"1558","Alcohol","Moderate drinking may have a positive effect on your health. But drinking can also cause problems. Learn about alcohol effects and benefits. ","<p>If you are like many Americans, you drink alcohol at least occasionally. For many people, moderate drinking is probably safe. It may even have health benefits, including reducing your risk of certain heart problems. For most women and for most people over 65, moderate drinking is no more than three drinks a day or seven drinks per week. For men under 65, it is no more than four drinks a day or 14 drinks per week.</p> <p>Some people should not drink at all, including <a href='https://medlineplus.gov/alcoholismandalcoholabuse.html'>alcoholics</a>, children, <a href='https://medlineplus.gov/pregnancyandsubstanceabuse.html'>pregnant women</a>, people taking certain medicines, and people with certain medical conditions. If you have questions about whether it is safe for you to drink, speak with your health care provider.</p> <p>Anything more than moderate drinking can be risky. Heavy drinking can lead to <a href='https://medlineplus.gov/alcoholismandalcoholabuse.html'>alcoholism and alcohol abuse</a>, as well as injuries, <a href='https://medlineplus.gov/liverdiseases.html'>liver disease</a>, heart disease, cancer, and other health problems. It can also cause problems at home, at work, and with friends.</p> <p >NIH: National Institute on Alcohol Abuse and Alcoholism</p>"
"120","Alcoholism and Alcohol Abuse","Do you know someone who binge drinks or has other drinking problems? They might have the disease known as alcoholism. Learn more.","<p>For most adults, moderate alcohol use is probably not harmful. However, about 18 million adult Americans have an alcohol use disorder (AUD). This means that their drinking causes distress and harm. It includes alcoholism and alcohol abuse.</p> <p>Alcoholism, or alcohol dependence, is a disease that causes</p> <ul> <li>Craving - a strong need to drink</li> <li>Loss of control - not being able to stop drinking once you've started</li> <li>Physical dependence - withdrawal symptoms</li> <li>Tolerance - the need to drink more alcohol to feel the same effect</li> </ul> <p>With alcohol abuse, you are not physically dependent, but you still have a serious problem. The drinking may cause problems at home, work, or school. It may cause you to put yourself in dangerous situations, or lead to legal or social problems.</p> <p>Another common problem is binge drinking. It is drinking about five or more drinks in two hours for men. For women, it is about four or more drinks in two hours.</p> <p>Too much alcohol is dangerous. Heavy drinking can increase the risk of certain cancers. It can cause damage to the <a href='https://medlineplus.gov/liverdiseases.html'>liver</a>, brain, and other organs. Drinking during pregnancy can <a href='https://medlineplus.gov/fetalalcoholspectrumdisorders.html'>harm your baby</a>. Alcohol also increases the risk of death from car crashes, injuries, homicide, and suicide.</p> <p>You may have an AUD if you can answer yes to two or more of these questions:</p> <p>In the past year, have you</p> <ul> <li>Ended up drinking more or for a longer time than you had planned to?</li> <li>Wanted to cut down or stop drinking, or tried to, but couldn't?</li> <li>Spent a lot of your time drinking, or recovering from drinking?</li> <li>Felt a strong need to drink?</li> <li>Found that drinking - or being sick from drinking - often interfered with your family life, job, or school?</li> <li>Kept drinking even though it was causing trouble with your family or friends?</li> <li>Given up or cut back on activities that you enjoyed just so you could drink?</li> <li>Gotten into dangerous situations while drinking or after drinking? Some examples are driving drunk and having unsafe sex.</li> <li>Kept drinking even though it was making you feel depressed or anxious? Or when it was adding to another health problem?</li> <li>Had to drink more and more to feel the effects of the alcohol?</li> <li>Had withdrawal symptoms when the alcohol was wearing off? They include trouble sleeping, shakiness, irritability, anxiety, depression, restlessness, nausea, and sweating. In severe cases, you could have a fever, seizures, or hallucinations.</li> </ul> <p>If you have any of these symptoms, your drinking may already be a cause for concern. The more symptoms you have, the more serious the problem is. If you think you might have an AUD, see your health care provider for an evaluation. Your provider can help make a <a href='https://medlineplus.gov/alcoholusedisorderaudtreatment.html'>treatment plan</a>, prescribe medicines, and if needed, give you treatment referrals.</p> <p >NIH: National Institute on Alcohol Abuse and Alcoholism</p>"
"24","Allergy","An allergy is a reaction by your immune system. Substances that cause reactions include pollen and food. Find the full list of allergies and symptoms.","<p>An allergy is a reaction by your immune system to something that does not bother most other people. People who have allergies often are sensitive to more than one thing. Substances that often cause reactions are</p> <ul> <li><a href='https://medlineplus.gov/hayfever.html'>Pollen</a></li> <li>Dust mites</li> <li>Mold spores</li> <li>Pet dander</li> <li><a href='https://medlineplus.gov/foodallergy.html'>Food</a></li> <li>Insect stings</li> <li><a href='https://medlineplus.gov/drugreactions.html'>Medicines</a></li> </ul> <p>Normally, your immune system fights germs. It is your body's defense system. In most allergic reactions, however, it is responding to a false alarm. Genes and the environment probably both play a role.</p> <p>Allergies can cause a variety of symptoms such as a runny nose, sneezing, itching, <a href='https://medlineplus.gov/rashes.html'>rashes</a>, swelling, or <a href='https://medlineplus.gov/asthma.html'>asthma</a>. Allergies can range from minor to severe. <a href='https://medlineplus.gov/anaphylaxis.html'>Anaphylaxis</a> is a severe reaction that can be life-threatening. Doctors use skin and blood tests to diagnose allergies. Treatments include medicines, allergy shots, and avoiding the substances that cause the reactions.</p> <p >NIH: National Institute of Allergy and Infectious Diseases</p>"
"1692","Alpha-1 Antitrypsin Deficiency","Alpha-1 Antitrypsin Deficiency is an inherited condition that raises your risk for lung and liver disease. Learn about the symptoms and treatment.","<p>Alpha-1 antitrypsin deficiency (AAT deficiency) is an inherited condition that raises your risk for lung and liver disease. Alpha-1 antitrypsin (AAT) is a protein that protects the lungs. The liver makes it. If the AAT proteins aren't the right shape, they get stuck in the liver cells and can't reach the lungs.</p> <p>Symptoms of AAT deficiency include</p> <ul> <li>Shortness of breath and wheezing</li> <li>Repeated lung infections</li> <li>Tiredness</li> <li>Rapid heartbeat upon standing</li> <li>Vision problems</li> <li>Weight loss</li> </ul> <p>Some people have no symptoms and do not develop complications.</p> <p>Blood tests and genetic tests can tell if you have it. If your lungs are affected, you may also have lung tests. Treatments include medicines, pulmonary rehab, and extra oxygen, if needed. Severe cases may need a lung transplant. Not smoking can prevent or delay lung symptoms.</p> <p >NIH: National Heart, Lung, and Blood Institute</p>"
"22","Alzheimer's Disease","Alzheimer's disease (AD) is the most common form of dementia among older people. Discover the symptoms, treatments, and latest Alzheimer's research.","<p>Alzheimer's disease (AD) is the most common form of <a href='https://medlineplus.gov/dementia.html'>dementia</a> among older people. Dementia is a brain disorder that seriously affects a person's ability to carry out daily activities. </p> <p>AD begins slowly. It first involves the parts of the brain that control thought, memory and language. People with AD may have trouble remembering things that happened recently or names of people they know. A related problem, <a href='https://medlineplus.gov/mildcognitiveimpairment.html'>mild cognitive impairment</a> (MCI), causes more memory problems than normal for people of the same age. Many, but not all, people with MCI will develop AD.</p> <p>In AD, over time, symptoms get worse. People may not recognize family members. They may have trouble speaking, reading or writing. They may forget how to brush their teeth or comb their hair. Later on, they may become anxious or aggressive, or wander away from home. Eventually, they need total care. This can cause great stress for family members who must <a href='https://medlineplus.gov/alzheimerscaregivers.html'>care</a> for them.</p> <p>AD usually begins after age 60. The risk goes up as you get older. Your risk is also higher if a family member has had the disease.</p> <p> No treatment can stop the disease. However, some drugs may help keep symptoms from getting worse for a limited time.</p> <p >NIH: National Institute on Aging</p>"
"6189","Amblyopia","Learn about amblyopia, or ""lazy eye,"" the most common cause of visual problems in children. It happens when an eye fails to work properly with the brain. ","<p> Amblyopia, or ""lazy eye,"" is the most common cause of visual impairment in children. It happens when an eye fails to work properly with the brain. The eye may look normal, but the brain favors the other eye. In some cases, it can affect both eyes. Causes include</p> <ul> <li><a href='https://medlineplus.gov/eyemovementdisorders.html'>Strabismus</a> - a disorder in which the two eyes don't line up in the same direction</li> <li><a href='https://medlineplus.gov/refractiveerrors.html'>Refractive error</a> in an eye - when one eye cannot focus as well as the other, because of a problem with its shape. This includes nearsightedness, farsightedness, and astigmatism.</li> <li><a href='https://medlineplus.gov/cataract.html'>Cataract</a> - a clouding in the lens of the eye</li> </ul> <p>It can be hard to diagnose amblyopia. It is often found during a routine vision exam.</p> <p>Treatment for amblyopia forces the child to use the eye with weaker vision. There are two common ways to do this. One is to have the child wear a patch over the good eye for several hours each day, over a number of weeks to months. The other is with eye drops that temporarily blur vision. Each day, the child gets a drop of a drug called atropine in the stronger eye. It is also sometimes necessary to treat the underlying cause. This could include glasses or surgery.</p> <p >NIH: National Eye Institute</p>"
"6385","Amino Acid Metabolism Disorders","Disorders like phenylketonuria (PKU) and maple syrup urine disease cause problems with how your body uses proteins. Learn more about them.","<p>Metabolism is the process your body uses to make energy from the food you eat. Food is made up of proteins, carbohydrates, and fats. Your digestive system breaks the food parts down into sugars and acids, your body's fuel. Your body can use this fuel right away, or it can store the energy in your body. If you have a <a href='https://medlineplus.gov/metabolicdisorders.html'>metabolic disorder</a>, something goes wrong with this process.</p> <p>One group of these disorders is amino acid metabolism disorders. They include <a href='https://medlineplus.gov/phenylketonuria.html'>phenylketonuria</a> (PKU) and maple syrup urine disease. Amino acids are ""building blocks"" that join together to form proteins. If you have one of these disorders, your body may have trouble breaking down certain amino acids. Or there may be a problem getting the amino acids into your cells. These problems cause a buildup of harmful substances in your body. That can lead to serious, sometimes life-threatening, health problems.</p> <p>These disorders are usually inherited. A baby who is born with one may not have any symptoms right away. Because the disorders can be so serious, early diagnosis and treatment are critical. Newborn babies get <a href='https://medlineplus.gov/newbornscreening.html'>screened</a> for many of them, using blood tests.</p> <p>Treatments may include special diets, medicines, and supplements. Some babies may also need additional treatments if there are complications.</p>"
"5273","Amyloidosis","Amyloidosis is a rare condition that can affect different organs of the body. Find out about amyloidosis treatment and symptoms. ","<p>Amyloidosis occurs when abnormal proteins called amyloids build up and form deposits. The deposits can collect in organs such as the kidney and heart. This can cause the organs to become stiff and unable to work the way they should. </p> <p>There are three main types of amyloidosis:</p> <ul> <li>Primary - with no known cause</li> <li>Secondary - caused by another disease, including some types of cancer</li> <li>Familial - passed down through genes</li> </ul> <p>Symptoms can vary, depending upon which organs are affected. Treatment depends on the type of amyloidosis you have. The goal is to help with symptoms and limit the production of proteins. If another disease is the cause, it needs to be treated.</p>"
"135","Amyotrophic Lateral Sclerosis","ALS stands for Amyotrophic Lateral Sclerosis, also called Lou Gehrig's disease. ALS affects the nervous system, causing muscle problems. Find out how.","<p>Amyotrophic lateral sclerosis (ALS) is a nervous system disease that attacks nerve cells called neurons in your brain and spinal cord. These neurons transmit messages from your brain and spinal cord to your voluntary muscles - the ones you can control, like in your arms and legs. At first, this causes mild muscle problems. Some people notice</p> <ul> <li> Trouble walking or running </li> <li> Trouble writing </li> <li> Speech problems</li> </ul> <p>Eventually, you lose your strength and cannot move. When muscles in your chest fail, you cannot breathe. A breathing machine can help, but most people with ALS die from <a href='https://medlineplus.gov/respiratoryfailure.html'>respiratory failure</a>. </p> <p>The disease usually strikes between age 40 and 60. More men than women get it. No one knows what causes ALS. It can run in families, but usually it strikes at random. There is no cure. Medicines can relieve symptoms and, sometimes, prolong survival. </p> <p >NIH: National Institute of Neurological Disorders and Stroke</p>"
"136","Anabolic Steroids","Thinking about getting buff with the help of anabolic steroids? Think again. Anabolic steroids can lead to a number of problems. ","<p>Anabolic steroids are man-made substances related to male sex <a href='https://medlineplus.gov/hormones.html'>hormones</a>. Doctors use anabolic steroids to treat some hormone problems in men, delayed puberty, and muscle loss from some diseases.</p> <p>Bodybuilders and athletes often use anabolic steroids to build muscles and improve athletic performance. Using them this way is not legal or safe. Abuse of anabolic steroids has been linked with many health problems. They include</p> <ul> <li> Acne</li> <li> Breast growth and shrinking of testicles in men </li> <li>Voice deepening and growth of facial hair in women </li> <li>High blood pressure</li> <li>Heart problems, including heart attack</li> <li>Liver disease, including cancer</li> <li>Kidney damage</li> <li>Aggressive behavior </li> </ul> <p >NIH: National Institute on Drug Abuse</p>"
"3791","Anal Cancer","Anal cancer is rare. HPV is one of the most common causes. Find out more about anal cancer symptoms, diagnosis, and treatment. ","<p>The <a href='https://medlineplus.gov/analdisorders.html'>anus</a> is where stool leaves your body when you <a href='https://medlineplus.gov/bowelmovement.html'>go to the bathroom</a>. It is made up of your outer layers of skin and the end of your large intestine. Anal cancer is a disease in which cancer cells form in the tissues of the anus.</p> <p>Anal cancer is rare. It is more common in smokers and people over 50. You are also at higher risk if you have <a href='https://medlineplus.gov/hpv.html'>HPV</a>, have anal sex, or have many sexual partners.</p> <p>Symptoms include bleeding, pain, or lumps in the anal area. Anal itching and discharge can also be signs of anal cancer.</p> <p>Doctors use tests that examine the anus to diagnose anal cancer. They include a physical exam, endoscopy, ultrasound, and biopsy.</p> <p>Treatments include radiation therapy, chemotherapy, and surgery.</p> <p >NIH: National Cancer Institute</p>"
"137","Anal Disorders","Anal disorders include hemorrhoids, fistulas, and abscesses. Learn about which anal conditions are minor and those that are more serious. ","<p>The anus is the opening of the rectum through which stool passes out of your body. Problems with the anus are common. They include <a href='https://medlineplus.gov/hemorrhoids.html'>hemorrhoids</a>, <a href='https://medlineplus.gov/abscess.html'>abscesses</a>, fissures (cracks), and <a href='https://medlineplus.gov/analcancer.html'>cancer</a>.</p> <p>You may be embarrassed to talk about your anal troubles. But it is important to let your doctor know, especially if you have pain or bleeding. The more details you can give about your problem, the better your doctor will be able to help you. Treatments vary depending on the particular problem.</p> <p >NIH: National Institute of Diabetes and Digestive and Kidney Diseases </p>"
